#{"t_start": 1598826891.8652916, "env_id": "WalrusBalance-v0"}
r,l,t
29.659906,4,1.704093
39.810617,4,2.989024
24.185526,3,4.031576
97.942145,8,6.140911
33.513521,3,7.176165
59.620328,6,8.838929
29.627134,4,10.050489
34.390589,3,11.072399
54.275651,5,12.483245
80.453114,7,14.365182
82.854765,7,16.203759
29.754195,4,17.449526
53.308644,7,19.348976
58.790783,6,21.038982
99.973646,9,23.317936
24.576644,3,24.371876
76.99645,6,26.06343
49.281139,4,27.244288
39.526614,4,28.486948
34.827509,3,29.564929
39.928728,4,30.807867
87.627594,8,32.905943
49.769339,6,34.61361
24.049488,3,35.601954
99.268556,8,37.663176
34.535595,3,38.769444
99.211778,8,40.855969
49.277305,4,42.079665
59.618736,6,43.70146
64.109669,7,45.590862
39.785147,4,46.872739
34.728483,3,47.95876
39.904138,4,49.223733
39.706238,4,50.410914
49.220093,4,51.674364
24.731256,3,52.688299
89.57747,9,55.019104
92.366137,9,57.344314
64.203955,7,59.236778
29.148904,4,60.46858
33.806861,3,61.553386
136.500873,17,65.479336
29.534001,4,66.742213
78.702954,6,68.410143
94.347786,7,70.236362
100.244003,9,72.549171
53.557832,5,74.000722
24.417965,3,75.097029
110.712151,11,77.885769
39.749712,4,79.110515
29.701929,4,80.575706
192.480354,15,84.141959
138.399889,12,87.097887
29.67268,4,88.348959
49.434128,6,90.030576
116.922435,10,92.555022
72.803899,7,94.459137
103.283818,9,96.932233
87.343917,8,99.0497
48.488877,8,101.196249
23.309361,3,102.22081
96.983874,9,104.504817
34.799846,5,106.017353
107.169051,10,108.505868
79.356119,8,110.611816
88.924806,8,112.699308
34.578669,3,113.758032
145.390392,12,116.717894
34.792247,3,117.824445
24.288999,3,118.902663
39.223702,4,120.165714
39.758727,4,121.419072
105.664925,10,123.922765
54.419217,5,125.405477
86.001929,8,127.633472
112.963964,11,130.538685
34.441315,3,131.62498
73.747494,7,133.48697
39.427119,4,134.735435
24.642696,3,135.779598
24.505222,3,136.78341
53.421768,5,138.249691
34.193412,3,139.272446
78.955883,6,140.92445
49.515424,4,142.210753
56.309596,6,143.978859
80.768022,9,146.287416
63.980655,7,148.189076
99.120148,8,150.268485
151.478745,13,153.468781
29.523953,4,154.74342
24.822152,3,155.980085
34.646984,5,157.466292
79.13699,6,159.140593
34.884151,3,160.205032
49.645995,6,161.886271
29.457024,4,163.057772
64.61487,7,164.939306
98.990765,8,167.021357
39.508724,4,168.323925
67.105778,6,169.950321
86.01024,8,172.086137
34.714388,3,173.209069
88.205153,8,175.262182
32.648902,3,176.365927
48.339625,6,178.073966
64.402025,7,179.979547
39.289004,6,181.66624
24.394787,3,182.683968
29.76112,4,183.967253
54.56319,5,185.446866
44.766055,5,186.962289
34.642933,3,188.008943
24.459231,3,189.006243
24.304149,3,190.004693
38.130198,4,191.22049
84.03486,7,193.091566
44.312922,5,194.466878
38.560549,4,195.751658
34.100858,3,196.778236
29.672348,4,198.041818
24.273986,3,199.088457
34.668949,3,200.084617
58.353147,6,201.774389
74.441563,7,203.615731
98.948275,10,206.174667
39.634299,4,207.382338
24.38278,3,208.3659
67.19353,6,209.9544
28.246864,4,211.188103
78.640043,8,213.297629
38.883259,4,214.523016
143.468729,11,217.235538
34.842663,3,218.283782
29.74805,4,219.624778
54.695881,5,221.05602
86.711621,8,223.096642
59.539023,6,224.798078
107.449953,8,226.906265
117.869172,13,230.005113
148.691099,12,232.902677
34.643613,3,233.97965
59.098336,6,235.702567
106.815631,10,238.259158
58.269119,8,240.360277
98.451263,10,242.856725
48.744969,4,244.162636
72.791099,7,246.018609
62.523105,5,247.420578
4.947604,1,248.90774
83.317645,7,250.78426
24.432309,3,251.828969
34.605569,3,252.884756
87.66381,8,254.951164
33.865715,3,256.051234
86.880903,8,258.082255
94.334788,9,260.305222
37.443146,4,261.486246
24.070663,3,262.625024
89.127382,9,264.893101
83.109247,7,266.798628
72.278076,7,268.666043
29.61215,4,269.963182
39.580712,4,271.199567
92.823636,9,273.436406
29.670611,4,274.6996
24.2406,3,275.692466
34.446687,3,276.729461
72.028316,7,278.577885
34.20979,5,280.050771
14.727357,1,281.589882
49.424283,4,282.816497
24.609807,3,283.842928
79.56977,6,285.460161
29.493883,4,286.727407
73.484232,7,288.539313
74.019185,7,290.390026
58.930812,6,292.041702
68.018738,6,293.720909
29.543026,4,294.963382
24.496336,3,295.997935
54.162576,5,297.472667
71.737816,7,299.342449
93.700726,9,301.589389
88.178944,8,303.697689
82.1349,7,305.626206
29.670599,4,306.831298
28.253282,4,308.041247
67.773977,6,309.721358
34.408099,3,310.748794
52.162629,7,312.607256
53.865623,5,314.090307
39.742029,4,315.412124
54.859779,5,316.91677
24.504821,3,317.957303
81.998867,7,319.877914
39.162682,4,321.11385
23.688418,3,322.096034
34.005389,3,323.172489
34.736226,3,324.200022
93.643973,9,326.448767
49.52102,6,328.055529
49.735309,6,329.712558
34.828037,3,330.761975
28.831896,4,331.976794
141.561452,13,335.079597
34.788067,3,336.11024
29.743256,4,337.355776
93.625532,9,339.617006
29.615194,4,340.854276
47.648398,4,342.081369
29.643987,4,343.354101
34.385696,3,344.413167
92.371151,9,346.733168
33.478832,3,347.838642
39.100312,4,349.065447
34.433229,3,350.090564
29.532506,4,351.280292
24.119632,3,352.274255
56.59586,6,353.914573
44.346204,5,355.386126
24.275195,3,356.457311
34.406525,3,357.565977
29.537858,4,358.866181
74.059175,7,360.748329
44.752789,5,362.183648
29.726057,4,363.469921
24.467777,3,364.496815
91.140887,9,366.782093
54.334198,5,368.235932
24.606529,3,369.290434
34.326281,3,370.33451
123.407562,12,373.213889
83.213904,7,375.051621
24.06342,3,376.048371
