#{"t_start": 1599227363.373105, "env_id": "WalrusStairs-v0"}
r,l,t
31.43714,29,8.621202
114.448483,41,17.598087
-48.473923,29,23.986254
-58.89916,43,33.387769
36.422608,91,52.688574
-14.65174,10,55.198011
-58.899705,73,70.834733
-192.718583,172,107.157989
205.584273,84,125.0211
68.259536,16,128.744815
244.317382,191,168.948286
-34.33662,161,202.84004
-46.013089,24,208.221372
-74.691234,169,243.982019
11.830463,20,248.540754
25.996867,23,253.755187
130.770386,76,269.949085
21.028005,58,282.429141
10.527888,107,305.105683
-55.809309,47,315.260672
-1.53538,12,318.151193
-6.772176,23,323.341077
-11.176317,17,327.310056
-2.562859,43,336.616355
-46.50923,26,342.509925
-36.039754,63,356.029427
-96.686231,91,375.407967
1.58858,20,380.001544
35.353721,16,383.758245
-63.35069,45,393.511579
115.766122,29,399.920736
-14.301869,66,414.046645
-29.753957,15,417.602958
102.321373,58,430.239759
89.281717,30,436.943448
48.335801,18,441.078237
-52.357378,41,450.062875
87.684574,29,456.512051
68.748938,46,466.466862
-210.420761,103,488.315804
-209.156447,86,506.607895
-10.350473,10,509.105993
10.720654,15,512.675489
8.044685,13,515.826561
28.249639,25,521.477694
22.813766,73,537.126329
11.87093,34,544.63149
-46.105231,25,550.263234
-290.717119,170,586.028911
-157.707758,165,620.957081
47.565983,13,624.074429
32.008128,53,635.450514
-18.280901,36,643.390237
17.928753,65,657.340665
-39.092752,31,664.201965
-70.933292,59,676.827888
-4.108099,11,679.451288
-20.935539,15,682.980225
156.638014,37,691.0574
156.236716,60,703.964539
48.082796,70,719.049404
-34.775117,47,729.238908
-3.988575,136,757.931433
-21.426942,103,779.775057
-7.956909,13,782.891916
102.301524,95,803.084347
13.847898,13,806.210004
-6.516152,9,808.514544
-204.809885,84,826.375511
-24.226697,54,838.063975
-34.688601,78,854.831211
65.486371,32,861.86117
-55.093868,23,867.098176
-75.548503,37,875.190797
10.71157,7,877.104304
16.73928,21,881.830848
-183.894216,304,945.540403
-16.937726,24,950.900379
-141.294152,59,963.594682
-33.283608,21,968.385985
103.267993,47,978.58162
1.158222,19,982.901187
-43.897558,25,988.535667
-12.113494,14,991.87595
14.828012,59,1004.622212
-8.390339,14,1007.883108
-2.247327,9,1010.261183
-2.089383,19,1014.593374
21.910865,48,1025.064527
60.600128,53,1036.551712
-107.512317,113,1060.478525
-117.855638,70,1075.45293
-64.636563,55,1087.307634
-15.720639,62,1100.603232
0.754075,32,1107.614656
-30.484613,31,1114.507222
43.386149,24,1119.894818
-32.623904,38,1128.203885
158.892447,118,1153.166193
-32.877924,33,1160.469009
-0.652751,36,1168.376053
-24.568049,67,1182.716866
56.642439,65,1196.66392
-0.292807,38,1204.934096
51.53144,31,1211.834419
-27.309542,58,1224.294091
16.821426,21,1229.126431
-73.006825,63,1242.64729
-34.995337,19,1246.997587
-73.255083,121,1272.59863
13.917277,18,1276.774406
-9.624028,10,1279.239324
-45.534592,13,1282.359944
-34.686753,24,1287.766934
-34.456871,19,1292.125887
1.160131,37,1300.264141
-0.149941,36,1308.192285
-3.591027,21,1313.045913
13.745206,17,1316.974287
-41.516036,149,1348.37604
-51.983066,27,1354.467036
25.896692,27,1360.502946
-14.251818,15,1363.973765
-25.099285,17,1367.935349
-6.83317,27,1374.013191
-76.545149,288,1434.508305
-210.396427,212,1479.014218
41.537605,104,1501.044203
-21.980958,12,1503.969748
-9.576375,20,1508.473543
-27.749864,46,1518.45795
-19.66592,17,1522.420784
0.967695,12,1525.36851
-6.59062,5,1526.869685
-27.154302,98,1547.829355
-22.745811,54,1559.447753
1.90936,11,1562.167594
223.800755,151,1594.114393
22.049304,35,1601.885
112.782241,91,1621.161633
-189.020357,110,1644.433175
22.332374,93,1664.268475
-87.848989,62,1677.587749
-106.698152,117,1702.293006
-214.750403,93,1721.980308
-29.671533,26,1727.8798
-9.919014,49,1738.493563
-81.732049,36,1746.297931
54.558094,28,1752.58048
-48.124134,70,1767.576233
-176.445813,173,1803.989296
13.810378,10,1806.437221
-40.981089,32,1813.477982
-61.366989,80,1830.565756
12.832771,72,1845.896189
12.288566,15,1849.4032
51.086777,96,1869.909927
-32.979704,28,1876.085624
-17.467693,15,1879.685371
-32.179725,14,1883.003812
-55.064115,34,1890.452955
-108.428015,71,1905.670181
15.859855,18,1909.825261
-0.789698,30,1916.468304
-96.806237,84,1934.404557
26.563521,32,1941.494339
17.808258,81,1958.772757
131.408866,69,1973.514777
12.903011,30,1980.298012
60.151434,36,1988.275424
10.154608,21,1993.084567
-6.134091,27,1999.128178
-45.771039,50,2009.977655
-172.015007,88,2028.656352
-30.63541,78,2045.383758
-17.129713,14,2048.671385
-23.560121,54,2060.288469
87.446794,27,2066.309949
-134.190689,65,2080.249163
-139.957402,96,2100.627598
-146.31709,108,2123.576216
-63.247199,76,2139.792205
19.381408,12,2142.7231
13.836853,13,2145.785708
6.756973,14,2149.038866
-236.013485,10000,4245.255454
-233.931168,10000,6330.633017
-232.348949,10000,8413.809657
-228.690024,10000,10500.286818
-228.759046,10000,12584.07482
-14.493098,20,12588.609334
15.942162,20,12593.178226
201.344735,108,12616.09712
-208.783353,130,12643.542684
-83.222566,57,12655.788182
-40.27959,49,12666.370746
69.265772,25,12671.981822
4.678805,32,12679.050572
39.063993,31,12685.966176
-20.551697,11,12688.631876
17.474263,18,12692.91589
-46.651905,142,12722.826962
-30.695397,30,12729.498049
-14.391503,104,12751.493629
89.393699,47,12761.81543
-41.62071,102,12783.430224
-11.194049,15,12786.946843
0.073991,8,12788.988761
2.765803,11,12791.702054
90.990834,41,12800.655985
-80.411913,50,12811.494688
-2.863938,33,12818.801247
-83.405386,80,12835.901003
-179.844196,69,12850.653911
